Event Name,Important Info
Battle of Chaul,"The Battle of Chaul was a naval battle between the Portuguese and an Egyptian Mamluk fleet in 1508 in the harbour of Chaul in India. The battle ended in a Mamluk victory. It followed the Siege of Cannanore in which a Portuguese garrison successfully resisted an attack by Southern Indian rulers. This was the first Portuguese defeat at sea in the Indian Ocean.[2]

Previously, the Portuguese had been mainly active in Calicut, but the northern region of Gujarat was even more important for trade, and an essential intermediary in east–west trade: the Gujaratis were bringing spices from the Moluccas as well as silk from China, and then selling them to the Egyptians and Arabs.[5]

The Portuguese' monopolizing interventions were however seriously disrupting Indian Ocean trade, threatening Arab as well as Venetian interests, as it became possible for the Portuguese to undersell the Venetians in the spice trade in Europe. Venice broke diplomatic relations with Portugal and started to look at ways to counter its intervention in the Indian Ocean, sending an ambassador to the Egyptian court.[6] Venice negotiated for Egyptian tariffs to be lowered to facilitate competition with the Portuguese, and suggested that ""rapid and secret remedies"" be taken against the Portuguese.[6] The sovereign of Calicut, the Zamorin, had also sent an ambassador asking for help against the Portuguese.[7]

Since the Mamluks only had little in terms of naval power, timber had to be provided from the Black Sea in order to build the ships, about half of which was intercepted by the Hospitallers of St. John in Rhodes, so that only a fraction of the planned fleet could be assembled at Suez.[5] The timber was then brought overland on camel back, and assembled at Suez under the supervision of Venetian shipwrights.[7]

The Mamluk fleet finally left in February 1507 under Amir Husain Al-Kurdi in order to counter the expansion of the Portuguese in the Indian Ocean and arrived in the Indian port of Diu in 1508 after delays subduing the city of Jeddha.[5] It consisted of six round ships and six great galleys called galleasses.[5] 1500 combatants were on board, as well as the ambassador of the Zamorin ruler of Calicut, Mayimama Mārakkār.[7]

The fleet was to join with Malik Ayyaz, a former Russian slave, who was in the service of the Sultan Mahmud Begada of Gujarat Sultanate, who was naval chief and master of Diu.[5] The fleet was also planning to join with the Zamorin of Calicut, and then to raid and destroy all the Portuguese possessions on the Indian coast, but the Zamorin, who was expecting the Mamluk fleet in 1507 had already left.[2]

"
Mamluk–Portuguese conflicts,"Manuel I

Qansuh al-Ghuri

Egyptian Mamluk–Portuguese conflicts refers to the armed engagements between the Egyptian state of the Mamluks and the Portuguese in the Indian Ocean, following the expansion of the Portuguese after sailing around the Cape of Good Hope in 1498. The conflict took place during the early part of the 16th century, from 1505 to the fall of the Mamluk Sultanate in 1517.

Following the Portuguese bombardment of Calicut in 1500–01 by the 2nd Portuguese India Armada under Cabral, the spice trade linking India to Egypt and then Venice was seriously diminished and prices shot up.[6] Arab shipping was also being attacked directly: in 1503, the first Egyptian ship was looted and sunk by the Portuguese as it was returning from India.[7] In 1504, 17 Arab ships were destroyed by the Portuguese in the Indian harbour of Panane.[7]

In 1504, the Mamluk Sultan Qansuh al-Ghuri first sent an envoy to the Pope, in the person of the Grand Prior of the Saint Catherine's Monastery, warning that if the Pope did not stop the exactions of the Portuguese against Muslims, he would bring ruin to the Christian Holy Place in the Levant and to the Christians living in his realm.[7][8]

In 1504, the Venetians, who shared common interests with the Mamluks in the spice trade and desired to eliminate the Portuguese challenge if possible, sent envoy Francesco Teldi to Cairo.[9] Teldi tried to find a level of cooperation between the two realms, encouraging the Mamluks to block Portuguese navigations.[9] The Venetians claimed they could not intervene directly, and encouraged the Mamluk Sultan Qansuh al-Ghuri to take action by getting into contact with Indian princes at Cochin and Cananor to entice them not to trade with the Portuguese, and the Sultans of Calicut and Cambay to fight against them.[9] Some sort of alliance was thus concluded between the Venetians and the Mamluks against the Portuguese.[10] There were claims, voiced during the War of the League of Cambrai, that the Venetians had supplied the Mamluks with weapons and skilled shipwrights.[6]

The Mamluks however had little inclination for naval operations: ""The war against the Portuguese, being mainly a naval war, was entirely alien to the Mamluk and little to his taste. The navy and everything connected with it was despised by the land-minded Mamluk horsemen"".[11]

The Portuguese however kept blockading the Red Sea, and arresting Muslim merchant ships.[8]
"
Battle of Diu,"Portuguese victory

The Battle of Diu was a naval battle fought on 3 February 1509 in the Arabian Sea, in the port of Diu, India, between the Portuguese Empire and a joint fleet of the Sultan of Gujarat, the Mamlûk Burji Sultanate of Egypt and the Zamorin of Calicut.[7][8][9]

The Portuguese victory was critical: the great Muslim alliance was soundly defeated, easing the Portuguese strategy of controlling the Indian Ocean to route trade down the Cape of Good Hope, circumventing the historical spice trade controlled by the Arabs and the Venetians through the Red Sea and Persian Gulf. After the battle, the Kingdom of Portugal rapidly captured several key ports in the Indian Ocean including Goa, Ceylon, Malacca, Bom Baim and Ormuz. The territorial losses crippled the Mamluk Sultanate and the Gujarat Sultanate. The battle catapulted the growth of the Portuguese Empire and established its political dominance for more than a century. Portuguese power in the East would begin to decline with the sackings of Goa and Bombay-Bassein, Portuguese Restoration War and the Dutch colonisation of Ceylon.

The Battle of Diu was a battle of annihilation similar to the Battle of Lepanto and the Battle of Trafalgar, and one of the most important in world naval history, for it marks the beginning of European dominance over Asian seas that would last until the Second World War.[10]

Just two years after Vasco da Gama reached India by sea, the Portuguese realized that the prospect of developing trade such as that which they had practiced in West Africa had become an impossibility, due to the opposition of Muslim merchant elites in the western coast of India, who incited attacks against Portuguese feitorias, ships, and agents; sabotaged Portuguese diplomatic efforts; and led the massacre of the Portuguese in Calicut in 1500.[11]

Thus, the Portuguese signed an alliance with a sworn enemy of Calicut instead, the Raja of Cochin, who invited them to establish headquarters. The Zamorin of Calicut invaded Cochin in response, but the Portuguese were able to devastate the lands and cripple the trade of Calicut, then the main exporter of spices back to Europe, through the Red Sea. In December 1504, the Portuguese destroyed the Zamorin's yearly merchant fleet, bound for Egypt and laden with spices.[12]

"
Battle of Gagron,"Rajput victory

The Battle of Gagron was fought in 1519 between Mahmud Khalji II of Malwa and Rajput Confederacy of Rana Sanga. The conflict took place in Gagron (in the present-day Indian state of Rajasthan) and resulted in Sanga's victory, with him taking Mahmud captive and annexing significant territory.

Following the death of the Sultan of Malwa, Nasir-ud-Din Khalji, a succession struggle erupted amongst his sons. Mahmud Khalji II emerged victorious, primarily with the aid of the Rajput chief Medini Rai. The latter amassed considerable influence, resulting in the enmity of the Muslim nobles, with even the new sultan finding it necessary to appeal to Muzaffar Shah II of Gujarat. A Gujarati army was dispatched to Mandu, held by Medini Rai's son, and besieged it. The Rajput chief in turn appealed to Rana Sanga of Mewar for aid, who then marched his army into Malwa, reaching Sarangpur. However, Mandu was captured by the Gujaratis, prompting Sanga to return to Mewar alongside Medini Rai, who was then employed in his service.[3]

In retribution for them entering his territory, Mahmud marshalled an army against the Mewaris and marched it through Gagron.[3] Sanga advanced with a large army from Chittor reinforced by the Rathors of Merta under Rao Viramdeva, and met Mahmud, accompanied by the Gujarat auxiliaries under Asaf Khan. The Mewari cavalry made a charge through that of the Gujarati, with the surviving men scattering. They subsequently did the same to the Malwa army, resulting in a decisive victory. Mahmud was wounded and taken prisoner by Rana Sanga, with most of his officers having died and his army decimated. Asaf Khan's son was killed, though he himself managed to escape.[4]

Sanga subsequently took control of Bhilsa, Raisen, Sarangpur, Chanderi and Ranthambore. Mahmud was kept captive at Chittor for 6 months, though the Rana himself is said to have personally tended to his wounds. He was subsequently allowed an ""honourable"" return to his own lands, though one of his sons remained at Mewar as a hostage. Mahmud later sent Sanga a jewelled belt and crown as gifts.[5] Sanga presented the Chittor fortress to Haridas Kesaria after their victory, who humbly declined and accepted a jagir of 12 villages in return.[4][6]

"
Battle of Khatoli,"Delhi Sultanate

The Battle of Khatoli was fought in 1517 between the Lodi dynasty of the Delhi Sultanate under Ibrahim Lodi and the Kingdom of Mewar under Rana Sanga, during which Mewar emerged victorious.

On the death of Sikander Lodi in 1517, his son Ibrahim Lodi succeeded him as the new Sultan of the Lodi dynasty in the Delhi Sultanate. He was engaged in putting down the revolts of his nobles, when news of Rana Sanga’s encroachments reached him. He prepared an army and marched against Mewar. Rana Sanga also had prepared a large army of Rajput warriors and had advanced to meet him and the two armies met near the village of Khatoli on the borders of Haravati (Haraoti) in present-day Lakheri, 
Rajasthan. Ibrahim Lodi's army could not stand the onslaught of the Rajputs, and after a fight lasting two pahars (five hours), the Sultan's army gave up and fled, followed by the Sultan himself, leaving a Lodi prince prisoner in the hands of Rana Sanga. The prince was released after a few days, on payment of a ransom. In this battle, Rana Sanga lost an arm by a sword cut, and an arrow also hit him in the leg. [2]

The resources of Ibrahim were depleted by this war with Sanga so he could not renew the contest for some time. However, he sought vengeance on Maharana Sanga for the disastrous defeat inflicted by the Rana Sanga at Khatoli. And when the rebellion of Islam Khan, which had assumed serious proportions, was suppressed, the Sultan Ibrahim Lodi prepared another large army to attack Mewar, but was once again defeated by the Rajputs and Rana Sanga's forces in the Battle of Dholpur.[3]

"
Battle of Dholpur,"Delhi Sultanate
Leaders - Rana Sanga, Manik Chand Chauhan, Chandrabhan Chauhan, Ratan Singh Chundawat, Rajrana Ajja jhala,  Rao Ramdas, Gokaldas Parmar, Medini Rai

The Battle of Dholpur was fought between the Kingdom of Mewar under Rana Sanga and the Lodi dynasty of the Delhi Sultanate under Ibrahim Lodi resulting in a Mewar victory.

Following Ibrahim Lodi's defeat to Rana Sanga at the Battle of Khatoli, he made preparations to take action against Rana Sanga. The Mewar armies were stretched thin due to conflicts with the Sultans of Malwa and Gujarat. In the battle, which was fought near Dholpur, the Mewar army made a successful charge, and defeated the opposing armies. Rana Sanga followed this victory by conquering most of present-day Rajasthan.
When Ibrahim Lodi's army reached Rana Sanga's territory, the Maharana advanced with his Rajputs. As the two armies came in sight of each other near Dholpur,[3] Mian Makhan made preparations for battle. Said Khan Furat and Haji Khan were placed on the right, Daulat Khan commanded the centre, Allahdad Khan and Yusuf Khan were placed on the left. The army of Ibrahim Lodi was fully prepared to give the Maharana a warm reception.

The Rajputs started the battle with a cavalry charge which was personally led by Rana Sanga. His cavalry with their accustomed valour, advanced and fell on the army of Ibrahim Lodi, and in a short time put the enemy to flight. ""Many brave and worthy men were made martyrs and the others were scattered.""[4] The Rajputs pushed the army of Ibrahim Lodi up to Bayana.[5]

Hussain Khan taunted his fellow nobles from Delhi: ""It is a hundred pities that 30,000 horsemen should have been defeated by so few Hindus.""[2]
By this victory, each part of Malwa which had been usurped by Muhammad Shah (Sahib Khan), younger brother of Sultan Mahmud Khilji II of Mandu during his rebellion against his brother, and had subsequently been taken possession of by Sultan Sikander Lodi, father of Sultan Ibrahim Lodi, now fell into the hands of the Maharana of Mewar, Rana Sanga. Chanderi was one of the many places which fell into the hands of the Maharana,[6] who then bestowed it on Medini Rai as a gift.[7]
"
Battle of Raichur,"The Battle of Raichur was fought between the Vijayanagara Empire and the Sultanate of Bijapur in 1520[3] in the town of Raichur, India. It resulted in a decisive victory for Vijayanagara forces, and the Bijapur ruler was defeated and pushed across the river Krishna.[4]

The fort of Raichur was built by Kakatiya king Rudra in 1284, and passed on to the Vijayanagara Kingdom after the decline of Kakatiyas. Ever since, the fort had been under dispute for nearly two centuries. The fort, along with other areas of the northern Deccan, was captured by Muhammad Bin Tughluq in 1323.The Bahmani Sultanate captured the fort in 1347.[5] Saluva Narasimha Deva Raya attempted to recapture the city of Raichur from the Bahmanis, but failed.The immediate prelude to the Battle of Raichur began in the year 1520. In that year, Krishnadevaraya sent Seyed Maraikar, a Muslim in his service, to Goa with a large sum of money to buy horses. Maraikar betrayed Krishnadevaraya's cause and went to Adil Khan with the money and offered his services. Krishnadevaraya made a demand that Maraikar be returned along with the money which was duly refused. During the period of peace Krishnadevaraya made extensive preparations for a grand attack on Raichur Doab.

The battle was fought in Raichur between the armies of Krishnadevaraya and the Sultanate of Bijapur.[3] Main commander of the Vijayanagara army was Saluva Timmarusu also known as Saluva Timma.[6] The Vijayanagara Empire had a force consisting of 32,600 cavalry and 551 elephants according to contemporary sources. The Bijapur Sultanate had a force consisting of 7,000 cavalry and 250 elephants. Modern and contemporary writers disagree on the number of infantry personnel that each side had. The contemporary sources say that Krishnadevaraya had an infantry force consisting of a bit over 700,000 soldiers.[7]The Adil Shah, with a 120,000 foot, 18,000 horses and 150 elephants strong army, moved to relieve Raichur. Despite being outnumbered, his artillery advantage was significant. Upon reaching the Krishna River, he found it blocked by Vijayanagar troops. He then crossed the river and advanced towards Krishna's camp. Both armies prepared for battle and spent a night armed and ready. The next morning, Krishnadeva ordered an attack on the Musalmans, initially making progress but facing heavy artillery fire from the Bijapuris. The Hindu forces retreated in disorder, and Krishnadevaraya rallied his troops to counter-attack, ultimately leading to the enemy's panic and retreat.[8][9]Krishnadeva, the Vijayanagar leader, encouraged his remaining troops, vowing to die as a soldier instead of fleeing. He called for loyal officers, and together, they charged the enemy. This unexpected counter-attack caused the Bijapuris to retreat, leading to chaos and many casualties on both sides. The Vijayanagar army suffered over 16,000 dead, while the Bijapuris lost many, including Mirza Jehangir and five important captains including Salabut Khan taken prisoners.[9]Upon seeing the enemy retreat, Krishna's generals sought permission to continue the battle. However, prioritizing peace, he ordered his troops to withdraw. After capturing the Bijapuris' camp, Krishna counted the spoils: 100 elephants, 400 cannons, tents, horses, oxen, and other animals. He released captured women, honored the fallen with funeral rites, and distributed alms. With the battle concluded, Krishna returned to the siege of Raichur.[9]Moreover, the use of a Portuguese contingent[10] commanded by Cristovão de Figueiredo[11] with the use of fireweapons help to conquer the fortress,[12] there is a high probability that matchlocks, which were obtained through contact with the Portuguese, were used as well by the army of the Vijayanagara Empire.[13] Additionally the Portuguese with their arquebuses picked off the defenders from the walls, and thus enabled the besiegers to approach close to the lines of fortification and pull down the stones. Driven to desperation, and their governor being slain, the garrison surrendered.[8] Portuguese accounts state that cannons were used extensively by the Bijapur Sultanate; the Vijayanagara Empire used them minimally, at best.[14]  The Vijayanagara Empire emerged victorious despite the Bijapur Sultanate having superior firepower.[15]

When the city of Raichur surrendered, Krishnadevaraya made a triumphal entry into it.[17] Krishnadevaraya was brutal towards Bahmani Generals of Raichur. Many Bahmani generals lost their lands.  That if Adil Shah would come to him, do obeisance, and kiss his foot, his lands would be restored to him. The submission never took place. Krishnadevaraya then led his army as far north as Bijapur and occupied it.[18] Upon returning to Vijayanagara, Krishnadevaraya received Isma'il Adil Khan's ambassador, who requested the return of captured items, including Raichur fort. Krishnaraya agreed on the condition that Adil Khan would pay homage.[18][8] The meeting was scheduled at Mudgal, but when Krishnadevaraya arrived, Adil Khan was absent. Enraged, he advanced on Bijapur ,Adil Shah fled and Krishndevaraya occupied the royal palace. Although not intending to sack the city, Bijapur suffered damage.[16][8]

"
First Battle of Panipat,"Delhi Sultanate
Supported by:
Babur Muhammad, Khwaja Humayun Mir, KhalifaChin, Timur Khan,Ustad Ali Quli, Mustafa Rumi, Asad Malik Hast,Raja Ali Khan

The First Battle of Panipat, on 21 April 1526[6] was fought between the invading forces of Babur and the Lodi dynasty. It took place in North India and marked the beginning of the Mughal Empire and the end of the Delhi Sultanate. This was one of the earliest battles involving gunpowder firearms and field artillery in the Indian subcontinent which were introduced by Mughals in this battle.[7]

Babur defeated the Sultan of Delhi, Ibrahim Lodi, using a combination of tactics such as the use of firearms and cavalry charges. This battle marked the beginning of Mughal rule in India, and its aftermath had a significant impact on the political and social landscape of the country, establishing the Mughal Empire, which lasted for  331 years (1526-1857).[8]

After losing Samarkand for the second time, Babur gave attention to conquer Hindustan as he reached the banks of the Chenab in 1519.[10] Until 1524, his aim was to only expand his rule to Punjab, mainly to fulfil his ancestor Timur's legacy, since it used to be part of his empire.[11] At that time, most of North India was under the rule of Ibrahim Lodi of the Lodi dynasty, but the empire was crumbling and there were many defectors. He received invitations from Daulat Khan Lodi, Governor of Punjab and Ala-ud-Din, uncle of Ibrahim.[12] He sent an ambassador to Ibrahim, claiming himself the rightful heir to the throne of the country, however the ambassador was detained at Lahore and released months later.[10]

Babur started for Lahore, Punjab, in 1524 but found that Daulat Khan Lodi had been driven out by forces sent by Ibrahim Lodi.[13] When Babur arrived at Lahore, the Lodi army marched out and was routed.[13] In response, Babur burned Lahore for two days, then marched to Dipalpur, placing Alam Khan, another rebel uncle of Lodi's, as governor.[13] Alam Khan was quickly overthrown and fled to Kabul. In response, Babur supplied Alam Khan with troops who later joined up with Daulat Khan Lodi and together with about 30,000 troops, they besieged Ibrahim Lodi at Delhi.[14] He defeated them and drove Alam's army off; and Babur realised Lodi would not allow him to occupy the Punjab.[14]"
Battle of Khanwa,"Rajput Confederation

The Battle of Khanwa was fought at Khanwa on March 16, 1527. It was fought between the invading Timurid forces of Babur and the Rajput Confederation led by Rana Sanga for supremacy of Northern India. The battle was a major event in Medieval Indian history although Timurids won at Panipat but at the time, the sultanate at Delhi was a spent force that was long crumbling. To the contrary  Mewar kingdom, under the able rule of Rana Sanga, had turned into one of the strongest powers of northern India. Therefore, the battle was among the most decisive battles in the Mughal conquest of northern India.[9][10][11][12][13][14][excessive citations] 
It was among the earliest battles in Northern India where gunpowder was used to a great extent. The battle resulted in heavy casualties for both Timurids and Rajputs.[15]
Babur is said to have created a Pyramid with the heads of the Rajputs after the triumph in the battle.

Until 1524, Babur's aim was to expand his rule to Punjab, primarily to fulfil the legacy of his ancestor Timur, since it used to be part of his empire.[16] Large parts of north India were under the rule of Ibrahim Lodi of the Lodi dynasty, but the empire was crumbling and there were many defectors. Babur had already raided Punjab in 1504 and 1518. In 1519 he tried to invade Punjab but had to return to Kabul due to complications there.[17] In 1520–21 Babur again ventured to conquer Punjab, he easily captured Bhira and Sialkot which were known as the ""twin gateways to Hindustan"". Babur was able to annex towns and cities till Lahore but was again forced to stop due to rebellions in Qandhar.[18] In 1523 he received invitations from Alam Khan Lodi, brother of Sikandar Lodi, Daulat Khan Lodi, Governor of Punjab and Ala-ud-Din, Ibrahim's uncle, to invade the Delhi Sultanate. Alam personally went to Babur's court and told him about the political situation of India. Babur agreed after sending some of his nobles to scout Punjab. These nobles, after studying the area, approved the plan to invade India. However, there were arguments between the Mughals and the Lodi rebels. Alam demanded that Babur give Delhi to him after it was conquered, as he was instrumental in inviting the Mughals to invade the weakened Lodi Sultanate. Babur refused and thus Alam took his army to besiege Delhi by himself, where his army was defeated by Ibrahim Lodi.[19] Daulat Khan also betrayed Babur and with a force of 40,000 he captured Sialkot from the Mughal garrison and marched towards Lahore. Daulat Khan was soundly defeated at Lahore and through this victory Babur became the unopposed lord of Punjab.,[20][17] Babur continued his conquest and annihilated the Lodi sultanate's army in the First Battle of Panipat, where he killed the Sultan and founded the Mughal Empire.[21]

According to Baburnama, Rana Sanga had also offered to help Babur against Ibrahim, however while Babur did attack Lodi and take over Delhi and Agra, Sanga made no move, apparently having changed his mind. Babur had resented this backsliding; in his autobiography, Babur accuses Rana Sanga of breaching their agreement. However Rajput sources claim the opposite and say that Sanga was successful against the Lodi Empire and did not require Baburs aid. Instead it was Babur who approached Rana Sanga and proposed an alliance against the Lodi Empire.[22] Historian Satish Chandra speculates that Sanga may have imagined a long, drawn-out struggle taking place between Babur and Lodi, following which he would be able to take control of the regions he coveted. Alternatively, writes Chandra, Sanga may have thought that in the event of a Mughal victory, Babur would withdraw from Delhi and Agra, like Timur, once he had seized the treasures of these cities. Once he realized that Babur intended to stay on in India, Sanga proceeded to build a grand coalition that would either force Babur out of India or confine him to Afghanistan. In early 1527, Babur started receiving reports of Sanga's advance towards Agra.[23]

According to Jadunath Sarkar, Babur did not need an invitation to invade Hindustan. After establishing himself in Kabul, Babur had started making inroads into Punjab which was governed by Daulat Khan Lodi, a courtier of Ibrahim Lodi. Daulat was unfaithful to his lord and formed an alliance with Babur against the Lodi Empire. This made it easy for Babur to enter Hindustan and oust both Daulat and Ibrahim.[24]

"
Battle of Chausa,"The Battle of Chausa was a notable military engagement between the Mughal Emperor, Humayun, and the Afghan warlord, Sher Shah Suri. It was fought on 26 June 1539 at Chausa, 10 miles southwest of Buxar in modern-day Bihar, India. Sher Shah Suri was assisted by his allies, the Ujjainiya Rajputs of Bhojpur and Gautam Rajputs who were led by the commander, Gajpati Ujjainia.[2] Humayun escaped from the battlefield to save his life. Sher Shah was victorious and crowned himself Farīd al-Dīn Shēr Shāh.[3][4] Babur's cousin, Mirza Haidar asserted that the armies might have numbered over 200,000 troops.[5]

Humayun divided the province of Bengal into Jagirs among his officers and indulged in luxuries. Meanwhile, Sher Khan established his control over various regions and cut off Humayun's contracts with Agra. To put pressure on Sher Khan, Humayun marched towards Agra through the Grand Trunk Road, but Sher Khan provoked Humayun to recross the Ganga river to its southern bank at Chausa. Both armies remained encamped for three months, during which Sher Khan cleverly indulged Humayun in negotiations for peace. With the beginning of the rains, Sher Khan attacked the Mughal forces and caused a lot of confusion among them. The Mughal camp was filled with water, and a great number of soldiers were killed by the Afghans, and about 8000 of them were drowned in the flooded Ganga. Sher Khan captured the Mughal camp along with their artillery and harem. Sher Khan treated the ladies of the harem kindly and made arrangements for their safe return to Humayun.[6]

"
